,reviews,ratings
19,"I'm 47 years old and I've spent as much of my life as I can remember, a fan of horror and sci-fi films. Be they silent, black and white, no budget or big budget, there are very few of them that I can't find something to like about. That said, I'll give this movie credit for good gore and creature effects but that's all. This is a case of effects over story. Truth is we live in a time where there is very little left that hasn't been seen in a horror film. Therefor for a film of any kind to really entertain it must have a good, original story. A good story can overcome poor effects and bad acting but a bad story with good acting and good effects is still a bad movie. This movie doesn't even have good acting, only good effects. So unless you can only about the gore, pass this one up.",1
20,"First question: Why aliens who have the technology to travel in spaceships would walk naked and without guns or protection in a dangerous forest, specially after they had killed and abducted people in that area? Well, after that, you can imagine what comes along in this ridiculous movie. (sorry for the English mistakes, I'm from Brazil). I think maybe the screenplay was written to show a kind of animal or monster and along the production they decided to change to an alien, and they forgot to solve a lot of problems in the story. Only that could explain the huge amount of problems and holes in this horrible movie. Well, to match this stupid screenplay, there is yet terrible acting, a bad direction of photography and a amateur directing. After all the problems, at the end, nothing in explained about the aliens who walk naked and with no guns or protection in the forest. If we go to other specific problems, I could write hundreds of pages. One example: besides walking naked and with no protection, the aliens have mental power over the humans and great technology to travel in the space, what only could be possible after a great evolution, but they still have nippers and teeth of savage animals and act like those (and they don't use clothes or space suits). Completely incoherent. It isn't sci-fi, it is only a cheap and bad horror and gore movie using wrongly the concept.",1
21,"I'm gonna give this a five. But only because I felt they had the right idea. It seemed like the filmmakers really wanted to do something new with the who Alien abduction angle, but it did feel a lot like retread waters. The obvious comparison to Dreamcatcher can be made...but this flick takes that in a different direction, it just falls flat.

I was very surprised by some of the actors, though. Mike Williams is the only actor I recognized (him being in Blair Witch), but the other 4 actors in the flick were pretty good. They did their best with what they had I guess.

Another thing this movie had going for it, I think, is that it had some really good creature effects for a movie that obviously didn't have a huge budget. And the gore is pretty decent as well. It's a shame the story couldn't keep up with the FX though.

I look forward to Eduardo Sanchez's future work, just to see where else he'll go from here.",5
22,"This weekend just passed I watched ""28 Weeks Later"" which was very good. After that I watched this film.

I have tell you it is one of the most boring so called horror you could ever watch. The scenes were unrealistic, there was no script and no plot. The alien creature was unreal. And the fight scenes mild compared to a school yard fight. And to make it worse the guy named Cody had an uncontrollable loose filthy tongue which distracts attention from the main film.

Forget about this movie; rather go and watch 28 Weeks Later.

Cheers, Mesake C.",1
23,"The scared rednecks Duke (Brad William Henke), Otis (Mike C. Williams) and Cody (Paul McCarthy-Boyington) hunt and capture a dangerous creature in the Nixon Farm and drive to the isolated house of their friend Wyatt (Adam Kaufman) to ask what to do with it. They recall that fifteen years ago the quartet plus Cody's brother Timmy had been kidnapped in the Nixon Farm and submitted to experiments by aliens and Timmy did not survive. Nobody in town believed in their words and Cody was accused of killing his brother. However Wyatt advises them to not kill the alien since he could be tracked by his breed and they would jeopardize the human race. But the powerful extraterrestrial being controls the mind of Wyatt's girlfriend Hope (Catherine Mangan) and brings horror and death along the gruesome night.

""Altered"" has a confused and boring beginning since neither the situation nor the characters are well developed by the screenplay. Further, the stupid trio of characters that open the film is non- charismatic. However, after 30 or 40 minutes running time, there is an explanation and the viewer finds that ""Altered"" is an original sci-fi story with touches of horror and the plot finally becomes interesting. In the end, this is the typical low-budget movie that uses few locations and special effects that works. Based on my experience, I suggest the viewer to give a chance to this film and he or she may like it. My vote is six.

Title (Brazil): ""Aterrorizados"" (""Terrified"")",6
24,"Once again this film maker makes democracy work. He did it with Blair Witch which I did not like and he did it here again with Altered. Completely different but equally creative. But in Blair Witch you never get layed. Here you get up close and personal. This film has guts. It is one of the very few mixtures of Horror and Science Fiction that you love. Best of all this is old school. No computer dimensional cross dressing. This is straight up monster. My only complaint they don't give you many perks. No extras but two boring deleted scenes. But you know what it fits this is lean, nasty and mean and good. This very little I like, this is surely one.",9
25,"A movie with potential, and promise, but somehow fails to meet the ends. You could sum up the movie, by saying it performed best, with the quality it was given. In personal bias, I'll state the movie itself could expand, further with the ideas it had. Giving it, an average rating. Everything centered around that statistic, average acting, plot, but the concept of the enemy was what was interesting.

The holes in the plot are minor, but they still should have had depth. How did this happen? What about this? It didn't give a deep intrigue towards this, but gave the amount necessary to at least grasp it, albeit somewhat.

These are all personal thoughts, but i enjoyed the movie. A settling horror flick, around your friends, or alone, but not worth more than maybe 10 bucks.",5
26,"This is a pretty trippy film, though I mean that in the most non-hippie way possible. It drops you in the middle of confusion and trusts you to be smart enough to figure it out yourself. By the time you do, you'll probably notice some flaws. But until then, Altered will take you on a fairly gripping ride.

Since figuring out what's going on is one of the appeals of this movie, let me try and describe it to you in a way that reveals as little as possible. 15 years ago, something terrible happened to 5 rednecks. There was Wyatt (Adam Kaufman), the best of the group; brothers Cody (Paul McCarthy-Boyington) and Timmy; high school football star Duke (Brad William Henke); and tag along Otis (Mike C. Williams). What happened to them killed Timmy and left the rest of them outcasts. But last night, after years of trying, Duke, Cody and Timmy have finally gotten the chance for some revenge. They don't know what to do with that chance, so they seek out Wyatt. He's been living for years as a paranoid shut-in out in the woods with his new girlfriend Hope (Catherine Mangan), unable to get past what happened 15 years ago. So, his three old friends come to Wyatt. On a table in his garage, they chain down a green beast with teeth and claws and eyes that can control a human brain. Then they ask Wyatt, ""What do we do now?"" What Wyatt tells them is hard to accept. What actually happens is something they won't all live through.

Altered is a crazy-cool idea for a movie and these filmmakers pull it off relatively well. I'll get to a few trifling criticisms, but I first want to state that this film not only keeps you guessing, it gets you interested enough to care. The actors make you believe these are ordinary people who've been bent out of shape by an extraordinary event. The direction is direct and lets a complicated tale unfold without any bells or whistles. The intensity is ratcheted up bit by bit until you're ready for something remarkable.

Unfortunately, nothing really remarkable occurs. The ending isn't bad by any means, but it is much less smart and much more formulaic that the rest of the film. After a heck of an effective build-up, the payoff in Altered isn't really anything to get too excited about. It's also true that these characters aren't nearly as good as the situation they're put in. They don't have a lot of depth and these filmmakers don't seem to know how to balance the story between them.

Given the stinking, pus-drenched detritus that makes up much of the sci-fi/horror genre, the weaknesses of Altered are quite minor. Grading on that curve, this movie is probably an A-, something a sci-fi/horror fan should really see. On a more objective scale, it's somewhere between a B- and a C+, something that might not blow you away but you won't regret watching it.",6
27,"ALTERED is directed by one of the directors of THE BLAIR WITCH PROJECT. Straight off the top - I HATE THE BLAIR WITCH PROJECT. I don't care about the fan-boys who think it's scary/creepy, etc...I found it nauseating due to the shaky camera-work and dull to the point of narcoleptic. ALTERED is from one of the directors of THE BLAIR WITCH PROJECT, which is why I wasn't in a rush to pick this one up. At the recommendation of a few people I trust, I decided to give it a shot. I have to say, that although I didn't find it the film to be as ""BRILLIANT"", ""EXCELLENT"", or ""FANTASTIC"" as other reviewers - it's an entertaining piece of sci-fi/horror that while flawed, has an interesting premise and is worth checking out.

A trio of hicks who had been abducted by aliens years earlier are bent on revenge. Going back to the abduction-point repeatedly, they finally accomplish their goal, and abduct an alien of their own. They take the creature back to their pal's house (who was also an abductee) to either find out some answers, or mete out a bit of backwoods justice. Thing is, the alien is a wily little creature that isn't easily defeated...

Even though I hated the director's previous film, I have to say that when I heard about the premise of ALTERED, I was intrigued. Luckily for me, the film works on most levels - but I can't say it's anything truly ""great"" either.

The good points: again, the concept is pretty original. The FX work is pretty damn good for a relatively low-budget film, and I like that there is very little CGI in the film, instead opting for the alien to be a (pretty well-made) costume. There are a few decent gore scenes that are notable, especially the guy that starts deteriorating after being bitten by the alien.

As for low-points: the redneck characters seemed a bit cliché and simple. I personally would have found it more interesting had the abductees been more intelligent individuals. I was also hoping that we'd get to see more revenge on behalf of the humans, instead it turned into more of a typical ""us-against-it"" film as the alien quickly escapes the abductees grasp.

A decent and entertaining film that I personally thought didn't make the most of it's concept. Worth checking out, but I can't say that ALTERED is anything truly ground-breaking either...7/10",7
28,"I might not have been the biggest Blair Witch fan but nonetheless appreciated that effort, so I was looking forward to Altered, especially after reading the superlatives thrown around in various IMDb comments. ""Unique"", ""intelligent"", ""A future cult classic"" and so on... you gotta wonder where people come up with that stuff to describe such a poor effort.

Because alas, Altered is a poor, weak movie that fails to engage in any and every respect. The silliness is not funny. The horror and gore is not scary. And whatever ""thinking"" aspect some poor fellows saw in this movie were due to severe delusions because there's certainly nothing profound or smart about this mess.

OK, so we know nothing stands out. Is it at least bearable? Is the experience worthwhile in any way? Unfortunately, no. For starters, get very poor acting. It's not a stretch to say most B-movies these days feature better acting. The plot? Boring and messy. Dialogs? Many amateurs actually do better.

It's really the direction that puzzles. I did not expect major improvements over Blair Witch but at least small steps forward. Instead, our director seems to have worsen over time, completely oblivious to previous experiences.

If there is a major flaw in Altered, it's the main set. A major part of the plot takes place in a single location, where the main characters are confined but Sánchez has failed to give the place any personality whatsoever. Considering that in Blair Witch, the forest plays a major part and is as much a character (an antagonist, if you will) as the three students, you would think the director would realize the same thing was needed here. But no... this place has no personality whatsoever thanks to sloppy direction and no attention to details.

There's nothing salvageable here. Die hard fans of ""Blair Witch"" are better off following Daniel Myrick. Although his output is far from being golden, it shows better structure than Sánchez and some lessons from Blair Witch are applied (unfortunately, in weak stories but still).",2
29,"My first clue about how bad this was going to be was when the video case said it was from the people who brought us Blair Witch Project which was a masterpiece in comparison to this piece of garbage. The acting was on the caliber of a 6th grade production of Oklahoma and the plot, such as there was, is predictable, boring and inane. 85% of the script is four letter words and innumerable variations on them. Mother F seems to be the ""writer's"" favorite because it is used constantly. It must have taken all of 10 minutes to write this script in some dive at last call. Thank God I rented it and could jump through most of it on fast forward. Don't waste your time or money with this.",2
30,"Director Eduardo Sanchez, well known for The Blair Witch Project, directs this film made directly for the DVD merchandise, which talks about a group of men that share one same event in their life: they have been abducted by an Alien species that captured them while they were on a hunt, and killed one of the group. While they had the chance to prove they were abducted, one of them, Wyatt, disproved everything and the story sinked in oblivion. Many years later, three of them succeed in capturing one of those vicious creatures. Because of this, they get themselves chased by the rest of the Aliens - and are forced to seek for help. They go to Wyatt himself, who, after his close encounters, has bought a house, customizing it with measures for eventual attacks. And there it begins. The Alien, chained, is brought inside and thus abducted, in a way. The bad news is that this Monster has psychic abilities (It can control the mind of a person after a long eye-to-eye glance) and its bite causes progressing necrosis, and as even worse news, it freed itself from the chains and caused a blackout. The film from this point progresses with a growing tension, a bit ruined by the obvious gore (always present in straight-to-DVD Horror flicks), really forced in some cases, like when Otis is gutted and the Alien tends the intestines across the room, trying to put an organic tracking device, or the progressing decomposing flesh of Cody. The characters are decently built mainly through dialogue referring to past events (which most of the film's plot is built around), the pacing is good and the creature effects are excellent despite the low budget. The Alien has an interesting design and indeed contributes to the overall tense and creepy tone of the film. Recommended for those who are experienced with Monster Movies.",8
31,"I really enjoyed this little flick. I believe the creative team had some difficulties getting the movie out in the public, but I'm glad they overcame the hurdle. There is a nice new spin on the story of 'alien abductees', where the humans are taking revenge on the aliens. A couple of things where you are left in the dark - story wise, but you can overlook that, and, I believe, get a nice kick out of it. SPOILER: One Thought though... what are the odds that the house dosn't just collapse on top of Wyatt's little 'escape capsule' when he blows everything up, in the end, and is being left inside there, with no way out?!",7
32,"To be short, a nice idea but it didn't work out right. It fails everywhere to keep the movie going, things said about the past the ""friends"" had makes you think like ""wait a sec. this is lame"". The movies gives no explanation about it's story, and it looks likes all the money was spent on special effects and then there was none left for good actors or a nice plot and story.

And man does that alien looks stupid, more like a sarcastic Roswell parody than e mean alien thing.

(and yes i know i may have used incorrect English, but then again it's not my first language but i think you get the idea)",1
33,"Too bad that I could not give zero star, the system simply wouldn't allow. I knew nothing prior to watch this flick. The 5.8 stars seemed to be promising. I couldn't have been disappointed more. This is trash from the very beginning to the ridiculous ending. In fact at the final cut scene we were laughing hysterically asking each other if that LAME ending was really meant to be serious or what. I'd like to write a few words about the plot and direction if it were any. Sadly, there was none. Nada. The acting was low. Really. The characters had no dimension, they always made the most illogical moves in every possible situation. A complete waste of time. Stay away from this one.",1
34,"Apparently, various crew members have posted comments and reviews on IMDb...that, ONLY, would explain the glowing responses to this really bad hunk-a-junk flick. Horrible acting...terrible script...it's all here.

""Blair Witch"" was indeed a one-hit wonder.

This film cribs every scene; there isn't an original idea to be had in the 80 minutes of running time.

It's nice to see ""Blair""'s Michael Williams back in action, however.

Not sure why IMDb lists the budget as $8 million - it's obviously incorrect.

Skip this one - watch ""Blair"" again.

UPDATE: One of the producers contacted me directly, to berate me for this review. That's kinda sad.",
